Spot	GeneSymbolHGNC	sixHours	twelveHours	twentyFourHours
A_23_P100001	FAM174B	3.2488456767998395	3.5245657086754916	1.5015114988890874
A_23_P100011	0	-1.2457230355827609	0.7972627427729667	1.0796266308383924
A_23_P100022	SV2B	3.657442832470986	-8.082251054860953	-3.07278348777081
A_23_P100056	RBPMS2	-7.225193606380014	-9.10540490808626	-6.550842203117879
A_23_P100074	AVEN	-1.3487028065242688	-0.6112347694592746	3.684018257230085
A_23_P100092	0	3.880012014828439	4.291931098594472	6.647178117869611
A_23_P100103	0	3.4780587153470686	3.816895381025579	2.288808457377393
A_23_P100111	0	-0.20928146997790356	-1.4417167931811157	-2.88343358636223
A_23_P100127	KNL1	-5.9927582831768005	-3.650798976281212	-10.892602223135661
A_23_P100133	0	-2.272198816902956	-2.175862902151222	-3.770388387697156
A_23_P100141	0	-6.135601191256956	-2.880111658267343	0.016609640474437855
A_23_P100156	0	-0.42188486805069503	0.8935986575247008	0.6112347694592748
A_23_P100177	0	-0.21924725426256583	2.478158358785972	-1.8170946679033873
A_23_P100189	PRM1	0.8171943113422911	5.23868060563737	0.35876823424783527
A_23_P100196	USP10	-1.4915457146044255	-1.3287712379549454	0.9899345722764338
A_23_P100203	HSBP1	-2.5080557116399587	-3.079427343960585	-3.2787430296538265
A_23_P100220	ESRP2	-0.23917882283189013	-1.2656546041520849	-3.943128648631299
A_23_P100240	CDH16	-0.07640434618240945	-0.12623326760572004	0.9234960103786867
A_23_P10025	NELL2	1.4915457146044253	0.5414742794666378	0.9102082979991374
A_23_P100263	0	0.368734018532498	1.793841171239175	0.43517258043024515
A_23_P100278	0	-1.1560309770208022	-2.7472345344718487	1.0497292779844065
A_23_P100292	ZNF598	-0.9434275789480108	-0.4285287242404698	-1.2922300289111839
A_23_P100315	DECR2	-1.4782580022248766	-2.760522246851398	-3.4049762972595468
A_23_P100326	NPRL3	-3.0761054158656975	-3.883333942923327	-4.046108419572808
A_23_P100341	0	-0.24914460711655287	1.9964787850273047	0.10962362713128268
A_23_P100344	ORC6	1.544696564122623	-4.40819858191553	-2.1027804840637003
A_23_P100355	PPP4C	0.7474338213496565	-0.10962362713128292	-1.9765472164579805
A_23_P100386	IL34	-1.9001428702755714	0.4683918613791181	-5.8067303098631085
A_23_P100392	ELOB	-3.717237538178958	-4.218848680506951	-2.807029240179821
A_23_P100408	0	3.378400872500448	3.3551473758362356	5.7303259636807
A_23_P100413	0	0.10962362713128299	1.212503754633887	0.36873401853249727
A_23_P100420	ZCCHC14	-5.511078709418134	-5.873168871760856	-4.727103679024717
A_23_P100441	FAM192A	-1.6244228383999202	-2.2323356797643075	-1.979869144552868
A_23_P100455	MTHFSD	-0.6643856189774724	-1.312161597480508	0.6610636908825851
A_23_P100469	0	5.876490799855745	5.37820158562264	6.039265276505225
A_23_P100478	0	-1.1493871208310276	-1.538052707932849	-1.6277447664948077
A_23_P100486	VKORC1	-0.6843171875467964	-2.2223698954796456	-1.979869144552868
A_23_P100499	ROGDI	1.391887871757805	1.172640617495239	-1.7008271845823295
A_23_P100501	HMOX2	-1.9466498636039944	-3.4514832905879693	-2.5445969206837202
A_23_P100517	TMEM170A	4.551041489995686	6.584061484066752	6.613958836920738
A_23_P100522	0	0.6012689851746127	2.5811381297274796	1.3852440155680295
A_23_P100539	ABCC6	-1.3719563031884816	-0.9135302260940235	-0.41856293995580734
A_23_P100556	0	0.4650699332842309	1.3852440155680301	1.3453808784293817
A_23_P100576	0	1.4815799303197639	-1.6975052564874422	0.26575424759098903
A_23_P100583	LPO	-0.8869548013349253	-2.6210012668661293	-4.989535998520818
A_23_P100595	0	2.1625751897716725	3.8301830934051293	-5.50443485322836
A_23_P10060	0	1.5413746360277365	4.786898384732689	-1.6111351260203708
A_23_P100602	TBCD	-0.7740092461087557	-2.7572003187565106	-4.541075705711024
A_23_P10062	0	-0.19931568569324165	-0.1694183328392555	0.6643856189774726
A_23_P100632	JPT1	-0.16277447664948133	3.179085186807206	4.690562469980955
A_23_P100642	PNMT	-7.328173377321522	2.0496296345455027	3.391688584879997
A_23_P100654	ZBTB4	-2.2223698954796456	-4.10590312528078	-2.1326778369176864
A_23_P100660	SERPINF1	1.2789423165316336	-1.2257914670134369	1.2590107479623107
A_23_P100676	SMG6	-3.029598422537275	-1.8436700926624867	-0.3454805218682855
A_23_P100693	0	-0.31890509710918624	-0.6677075470723599	-0.4384945085251324
A_23_P100704	MAPK7	3.301996526318038	5.129056978506088	1.3752782312833678
A_23_P100711	PMP22	-0.5580839199410759	-2.5479188487786066	-3.052851919201486
A_23_P100730	SKAP1	-0.5647277761308513	0.5315084951819786	0.17606218902902995
A_23_P100754	0	-0.3953094432915965	-1.1493871208310276	0.4750357175688928
A_23_P100764	SLC25A39	-0.8603793765758269	-0.9467495070428983	-2.1227120526330245
A_23_P10077	PNPLA2	-1.1593529051156901	-1.6476763350641317	-2.2721988169029554
A_23_P100779	0	-1.126133624166816	1.3420589503344944	0.19931568569324185
A_23_P100788	0	2.953194076354866	5.394811226097077	2.634288979245678
A_23_P100795	STAT3	6.427930863607046	4.933063220907733	3.1757632587123186
A_23_P100802	0	-2.109424340253475	-2.385144372129126	-0.4916453580433298
A_23_P10081	ARL13B	2.687439828763875	0.5946251289848372	1.1659967613054643
A_23_P100868	MYO19	-1.9798691445528676	-2.966481788734414	-2.2987742416620547
A_23_P100872	0	-2.6907617568587634	-0.4418164366200192	0.8703451608604889
A_23_P100883	SUZ12	-1.7340464655312031	-0.1760621890290302	1.405175584137354
A_23_P10091	0	-0.2325349666421154	-0.2225691823574534	-3.225592180135629
A_23_P100912	GIT1	2.4914460711655217	-2.564528489253044	-2.8635020177929063
A_23_P100931	0	-3.637511263901662	1.9964787850273047	0.750755749444544
A_23_P100935	0	-0.07308241808752196	1.3354150941447198	13.403979862870507
A_23_P100959	0	1.5513404203123993	-3.3850447286902208	-3.205660611566306
A_23_P100963	SPNS3	1.049729277984406	1.2955519570060718	1.4317510088964531
A_23_P100990	0	-1.601169341735709	0.6378101942183736	-2.5047337835450714
A_23_P100991	KRT38	-0.046506993328423014	-0.03986313713864836	0.860379376575827
A_23_P101007	0	-2.3253496664211535	-1.8503139488522606	-1.7340464655312033
A_23_P101013	TMC6	-1.3487028065242697	-3.850114661974453	-4.3783012290615435
A_23_P101025	0	2.704049469238313	3.2853868858436015	1.7606218902903021
A_23_P101038	KRTAP9-3	-1.8170946679033873	-0.013287712379549248	1.0696608465537307
A_23_P101048	KRTAP3-2	-0.2757200318756511	-1.833704308377824	2.132677836917687
A_23_P101054	KRT34	-3.222270252040741	1.9732252883630932	7.836428375839287
A_23_P101073	OR1E1	1.8303823802829373	3.6009700548579	0.1959937575983549
A_23_P101084	SPATA22	0.35876823424783527	-0.20263761378812914	5.089193841367439
A_23_P101093	COPZ2	1.2922300289111839	-0.25911039140121417	-0.7540776775394313
