Gene,Adult.CD14+.DC,Adult.cDC1,Adult.cDC2,Fetal.CD14+.DC,Fetal.cDC1,Fetal.cDC2
SLC1A1,1.8618628108,1.0786915936,0.4034776212,-0.6601657183,-0.4034776212,-0.4260914128
SLC1A2,1.1299808688,0.147031778,2.0677551485,-0.147031778,-0.5261227836,-0.2817607794
SLC1A3,1.7287642194,-0.1205016132,0.269685985,0.1205016132,-1.1357815978,-0.7877425219
SLC22A1,1.5997175244,0.1511112137,0.9402544486,-0.1511112137,-1.052564128,-0.7099357579
SLC22A10,0.4721860878,0.5675629575,0.8133543902,-0.7649274652,-1.7934184804,-0.4721860878
SLC23A1,0.9413913127,0.6184235613,0.8364196665,-0.835245828,-0.6184235613,-1.4099885263
SLC24A4,0.8238949332,0.0475776246,1.0162963576,-0.0475776246,-1.282450876,-1.3173030149
SLC25A11,0.8959676986,-0.3266881111,1.6845947799,0.3266881111,-1.0903504228,-0.3958288301
SLC25A16,-0.7644535249,-0.6452322955,-0.6923388003,1.6242628945,0.6452322955,0.7852980973
SLC25A25,-1.3116845352,0.1773199036,-0.4556667588,-0.1773199036,1.6947795138,0.3920456334
SLC25A3,-1.3511911481,-0.0394563298,-0.5510220926,0.0394563298,1.2448517584,1.1666705867
SLC25A44,-0.6793801033,-1.2672274036,-0.5564382016,1.3482201079,0.5564382016,0.7053654099
SLC25A5,-0.8545673083,-0.4270924169,-0.5920245196,0.4270924169,0.7611978616,1.7819636592
SLC26A8,-1.7944476903,-0.688065797,-0.3599849601,0.9115693141,0.6088230447,0.3599849601
SLC2A11,1.1109079372,0.5440864321,1.0126744067,-0.5440864321,-1.2952386813,-0.6884282734
SLC2A5,0.895819051,0.0788635569,0.8482492651,-0.0788635569,-1.791868124,-0.562958279
SLC30A2,0.3193792394,1.8156528135,1.1439498119,-0.7498273858,-0.3193792394,-0.4102123334
SLC34A1,-1.8226098134,-0.1689163179,-1.5407871793,0.3563642165,0.4541255342,0.1689163179
SLC35D2,1.1978618644,0.6381758773,0.5877156212,-0.6890587216,-1.415724053,-0.5877156212
SLC35E1,0.8454332567,0.2884943404,1.0738613373,-1.0695074884,-1.3660846975,-0.2884943404
SLC37A1,-0.2355049187,1.8197063,1.3872543878,-0.5974389696,0.2355049187,-0.3668632361
SLC38A1,-1.2978255624,0.0875421657,-0.0875421657,-0.8365078826,1.1774644846,1.1035114412
SLC38A10,1.5994268417,0.5517184164,1.0153955449,-0.6937464901,-0.5517184164,-0.742998148
SLC38A5,-1.8641085763,-1.1746646416,-0.2130556081,0.4867600912,0.6489570037,0.2130556081
SLC39A5,-0.4891284056,-0.9975339476,-1.5407263371,0.7353516235,0.8700030561,0.4891284056
SLC3A2,1.3673797675,0.6912710688,0.4977885748,-0.4977885748,-1.2046847795,-0.8399982436
SLC43A2,1.6125384653,-0.6689241879,0.7310365899,0.4673164567,-1.0253495318,-0.4673164567
SLC44A1,1.601417832,0.3484223047,1.5176624082,-0.5277615723,-0.3484223047,-0.5515884513
SLC44A3,1.5188486048,0.5238994316,0.6595009574,-0.5238994316,-0.9645357297,-0.8922557201
SLC44A4,-0.5727082235,-0.7167727943,-0.4859866285,0.4859866285,1.4965815661,1.3626458085
SLC48A1,0.9594169188,0.5278463195,1.656682654,-0.5278463195,-0.7612883019,-0.6602603469
SLC4A2,0.5738913091,0.7161799385,0.7083365442,-1.3636233517,-1.3150362543,-0.5738913091
SLC5A10,-1.6122925503,-0.5496977844,-0.9893748147,0.7184564336,0.7245019106,0.5496977844
SLC5A12,-0.556439708,-1.2971630244,-0.0729485143,0.0729485143,1.2929423403,1.1785738158
SLC5A2,0.5162346345,0.8144749513,1.0242934745,-0.5162346345,-1.4328070582,-0.8576252144
SLC6A12,0.1737238956,1.3376714797,1.7708103222,-0.6427103853,-0.4972607373,-0.1737238956
SLC6A15,1.0934201557,0.3097241914,0.1945018529,-0.5370488806,-1.8745438182,-0.1945018529
SLC7A11,0.5810526583,0.6496338801,0.9779106995,-0.8037428063,-1.5450289221,-0.5810526583
SLC7A3,0.354386913,1.2029809182,1.1189379106,-0.354386913,-0.7050880681,-1.2547265647
SLC7A5,-0.0861297771,-1.5183188125,-1.663808515,0.0861297771,0.5241395531,0.5908302046
SLCO1A2,1.2275249074,0.3646528725,1.5183050116,-0.3646528725,-0.7085617502,-0.8173018307
SLCO1B1,0.298715377,1.421153642,0.6161411717,-1.3799548033,-0.7201477901,-0.298715377
SLCO4A1,1.4262063336,-0.2114415361,0.878940382,0.2114415361,-1.3679115762,-0.5126822001
SLFN11,-0.3066556806,-1.5718609313,-1.4321098321,0.6421604195,0.3066556806,0.6195164104
SLFN13,0.7472826767,1.2639808783,0.7576241185,-1.0481028221,-0.7472826767,-0.7866355979
SLMO1,-0.2462371033,-0.0113496473,-0.4673720216,2.1184878215,0.0113496473,1.1486756188
SMAD2,0.6995076134,1.9488857846,0.2952132093,-0.2952132093,-0.713359832,-0.579359894
SMAD3,-0.4037356966,-1.3570300022,-1.341575307,0.4037356966,0.8324521019,0.7418492481
SMAP2,0.5053728351,0.3291613512,1.17719228,-0.771863235,-1.6219300126,-0.3291613512
SMARCB1,0.1222739514,1.1205943818,1.7699785981,-0.5991740113,-0.7775039281,-0.1222739514
SMC4,-1.2203205522,0.0466997129,-0.0466997129,-0.540797717,1.0448255984,1.4907359675
SMEK3P,-1.2097224483,-0.9646018231,-0.2288426798,0.7050298471,0.2288426798,1.4159042961
SMS,0.6032975869,0.79575777,0.2788163237,-0.2788163237,-1.6663274974,-1.1944876753
SMURF1,0.5841890337,1.0431772172,1.3559043218,-0.73350387,-0.5841890337,-0.9665242515
SNAP23,-0.7144736763,-1.0289004901,-0.7543734002,1.1907905888,0.9788989946,0.7144736763
SNHG10,0.5170049369,1.2594222789,1.6293891391,-0.6038531257,-0.5845033994,-0.5170049369
SNHG7,-0.4804144071,-0.9980616955,-0.5068352445,0.4804144071,1.3934611514,1.2486862433
SNHG8,0.8805609265,0.7017808041,0.7380277,-0.7017808041,-1.0092148701,-1.3275475869
SNORA12,-0.013116665,1.8295637195,0.5515363935,-0.9051062365,0.013116665,-0.7807125934
SNORA49,0.1917255575,1.0269437595,1.3954977185,-0.3681972494,-1.366633613,-0.1917255575
SNORA5A,-0.3265852319,0.0156727594,-0.5953849533,1.7756063055,1.5263062498,-0.0156727594
SNORA75,-1.0344294797,-0.0554668222,-0.7038941657,1.4478127812,1.2142435261,0.0554668222
SNORA76,-0.7454422294,-0.3566304583,-0.7897682704,0.3566304583,1.3746274265,1.3884895449
SNORD114-19,-1.1908555086,-1.4081836384,-0.372545371,0.372545371,0.7323531405,0.9601682985
SNORD53,-0.7218824793,-1.2595068898,-0.6640174183,1.1076732206,0.8853091285,0.6640174183
SNORD67,0.3396342987,0.83188065,1.0186711082,-0.9729305302,-1.4665588819,-0.3396342987
SNORD88B,0.5421356137,0.5771754231,1.0052876595,-1.3236145038,-0.5421356137,-1.211506201
SNORD98,1.2781195969,1.0240966879,0.6198665069,-0.8792837336,-0.6198665069,-0.905862895
SNRK,-0.6305681897,-1.3187420798,-0.2699160479,0.9575490934,0.2699160479,1.3498382643
SNRNP70,0.5782818814,0.7109811491,1.2188975331,-1.4090849869,-0.5782818814,-0.5961550091
SNRPB2,-0.859316408,-0.616525528,-0.7491440337,0.616525528,1.5112283396,0.8693038007
SNRPF,-0.7331798036,-0.0580668272,-0.4767909614,0.0580668272,1.8727850428,1.1178029149
SNRPG,-0.5335333324,0.0647991928,-1.1126914918,-0.0647991928,1.1369451645,1.5332920628
SNX29,1.0411203002,0.6577863189,0.5101240082,-0.5101240082,-1.4736131259,-0.9356849733
SNX32,-0.2922167668,-0.9782646487,-1.0571153202,0.2922167668,1.1665397374,1.1877983649
SOCS1,0.3736553765,1.3393882155,1.6184024681,-0.486027574,-0.3736553765,-0.7514125647
SOCS3,1.0433935247,-0.1349492141,1.0975794853,0.1349492141,-1.3603834461,-0.9067729782
SOLH,0.724603038,0.6065233241,0.6403484516,-0.6065233241,-1.607866839,-1.0008828214
SORBS2,0.21522357,1.0968904672,0.4913172269,-1.5744169026,-1.0839133299,-0.21522357
SORCS1,0.7339980182,1.3359506021,0.361576282,-0.7455737535,-1.3635923865,-0.361576282
SOX4,-0.9353825712,0.2849367775,-0.2849367775,-0.4218246176,1.8859999898,0.6892040918
SOX5,1.9094740025,-0.006485145,1.6537271557,0.006485145,-0.1900992033,-0.3403300905
SP1,-0.921627762,-0.439691043,-1.4025481509,0.8391714514,1.0596022706,0.439691043
SP3,0.6428964608,1.5569757963,0.3241257065,-0.3241257065,-1.0486385027,-0.9279349371
SPAG5,-0.5048017037,-0.8168645351,-0.5001860917,0.5001860917,0.706397393,1.8224793276
SPANXB1,0.2914134479,1.5017544076,0.336399389,-1.4874789652,-0.2914134479,-0.502989576
SPATA19,1.7846067182,-0.0227717278,0.8235492251,-0.3535447836,0.0227717278,-1.1089119185
SPC24,-0.4260721819,-0.4973394128,-0.7522337829,0.4260721819,1.5276985052,1.3996477629
SPCS2,1.6259729082,0.3380693118,0.7452948216,-0.9409763409,-0.8606986601,-0.3380693118
SPDYA,0.985709875,-0.0688610155,1.9578496295,0.0688610155,-0.6883054608,-0.4843765446
SPDYC,-0.3455638234,-0.0829355527,-1.233429659,1.6866262155,0.798512476,0.0829355527
SPEF2,0.5404572643,0.7972927071,1.7079369104,-0.7856303192,-0.5404572643,-0.658443602
SPERT,1.3795834718,0.3696948548,0.3989718901,-0.3696948548,-1.0444932369,-1.2734800614
SPG11,0.2361082505,1.4364171113,1.5046831825,-0.2361082505,-0.8675776193,-0.4808501682
SPG7,1.2830904494,0.5107882275,0.9793824095,-0.6202351021,-1.2313128749,-0.5107882275
