Gene,Adult cDC2 ,Adult CD14 DC,Adult cDC1,Fetal cDC2,Fetal CD14 DC,Fetal cDC1
AACSL,7.3315416962,7.3187092284,7.4214513585,7.5363363384,7.599366806,7.5278135685
AAK1,6.8610280432,6.8558076272,6.750607307,6.6348341315,6.639976156,6.6362893335
AAMP,9.1251958074,9.3093803853,9.3461877867,8.6754427101,8.6934058107,8.7088750049
AASS,7.3692844281,7.3570558605,7.0878686427,6.9606111814,7.050229721,7.0080701996
ABCA2,6.6877178346,6.7112754343,6.7490743974,6.9263597035,6.7934609072,6.9196314158
ABCA3,7.7088340514,7.3258531992,8.4890490815,7.0314541101,7.0182718122,7.2388068043
ABCA5,6.8150996407,6.6979911429,6.5755619849,6.5370361831,6.4723084074,6.4950719339
ABCA6,7.560437892,8.3509602305,7.2346541052,7.0750851232,7.0754014317,7.135761174
ABCA7,11.1423870101,9.3781503272,10.625778149,9.2538723534,8.4382636891,8.9543567498
ABCA9,6.9459771604,6.9897508832,6.8473771585,6.7865492713,6.8045709525,6.7341162887
ABCB7,8.9045538845,8.8266194071,9.0599931377,9.5326864222,9.2756666568,9.5046248331
ABCC6,7.3306208706,7.2303752843,7.1889671563,7.0550212989,7.0149128717,7.0122700771
ABCC6P1,7.1605572232,7.1103871939,7.0885185297,7.069350507,6.9794211724,6.9757685608
ABCD4,6.8490509069,6.8353228705,6.7449963428,6.6676922898,6.6272076457,6.588414853
ABHD12,9.9041374583,9.5557985977,9.0932298413,8.3895556916,8.5049964832,7.7657586112
ABHD3,7.133830109,7.075524234,8.1241513555,8.3612882185,8.0364369453,9.0258840514
ABHD4,7.5463084063,7.6784326701,7.2523048849,7.0752440922,7.1278734787,7.0548161413
ABHD5,7.2801468617,7.6271995488,7.0483718272,8.2551538345,8.6501396452,8.5955925028
ABHD8,9.3769183733,9.1460064838,9.0211699334,8.2698365856,8.0403270244,8.626093756
ABR,11.4119180877,11.3103630144,10.6229392605,10.4978593403,10.574189307,10.5039836298
ABTB1,6.694321586,6.8004292411,6.5832783174,6.5255408972,6.5708891114,6.5108183289
ACADM,7.7422681721,7.5751288365,7.6612385937,8.8720294442,8.3664934912,8.7365734148
ACADVL,14.0938019506,13.94582599,13.5876676322,12.7171602986,12.9211906056,12.8476704366
ACAT2,7.8238423424,7.9789698695,8.1524434303,8.994186013,8.8479367698,8.4356545606
ACBD5,6.7704452671,6.7116900005,6.6330663809,6.5248195954,6.6370120947,6.5663454613
ACCN3,6.8151937702,6.9731497861,6.797728195,7.0189339817,7.1354387719,7.0205720893
ACD,8.8207471671,8.9638670819,9.2458341792,8.5799227333,8.3823068153,8.0916447905
ACER2,7.1076795997,7.0482665314,7.043692367,7.2650411973,7.343474515,7.346841491
ACOT2,6.6157482581,6.6390583228,6.7087086345,6.4896462498,6.4990760872,6.5056701052
ACP5,7.6865118685,8.3742310584,7.0362446612,7.183443231,7.0752127906,6.7181039027
ACPL2,6.8938704097,6.8499095546,7.1203166614,6.5800994558,6.5723023786,6.625972147
ACSL4,10.0098435569,9.6862651891,10.0458207801,9.069898157,8.9163846921,8.8544386171
ACSM2B,6.8416861937,6.785276479,6.8656616428,6.9876339058,7.0510811306,6.9957426481
ACSM3,7.0190195412,7.0439393517,7.0246496038,6.8878078801,6.8120752356,6.8138457498
ACTBL2,6.9440000572,7.0055922984,6.9633210512,6.75650182,6.8571261095,6.8123710503
ACTG1,14.9211279579,14.6502672294,15.2126461853,15.3958169065,15.2004065372,15.5490626893
ACTN4,9.8280968436,9.2670746638,9.5260469871,9.1311699125,8.5148464039,8.6986094022
ACTR1B,10.2089581627,10.2937053756,9.5178862766,9.011187474,8.9860978929,8.2655333119
ADAM15,6.9204951078,6.9681288154,6.9214288296,7.058494994,6.9985865134,7.1332484141
ADAM19,6.7006730036,6.6678077693,6.7142649228,6.570272901,6.4522539509,6.5410232372
ADAM33,6.9924538832,7.0382176616,6.8487339597,6.7356735329,6.8433100429,6.7444630742
ADAM8,13.1173413073,12.7976920694,12.3327103639,11.305980983,10.4496046667,11.2755647497
ADAMTS14,7.1014464995,7.3895960986,6.6787927393,6.7125868929,6.8053125095,6.7150985458
ADAMTS2,6.9428705809,6.9220629212,6.8394584084,7.0200640605,7.1269312794,7.0938009734
ADAMTS4,6.9640913182,7.05887874,6.6668533531,6.6465521848,6.5422836589,6.757102932
ADAMTSL3,7.0588652632,7.0488446263,7.0570158379,7.1977497625,7.2209699109,7.230328822
ADAR,8.6535264675,8.7382098625,8.8656512728,8.2813652383,8.2066644063,7.8793639535
ADARB1,6.9710448695,6.9471293945,6.8370815949,6.7807595106,6.7221219914,6.7252863967
ADCK5,8.1902894955,8.3709991427,8.0299304681,7.4545347061,7.7415049393,7.2733974991
ADCY3,10.3382290072,10.240791132,10.7706114677,11.7544345125,11.4768710637,12.0793681058
ADCY6,7.7705562864,7.307585906,7.2895434359,7.1127705095,7.0342241592,7.0865245265
ADCY7,8.985228458,8.9316221684,9.1558241346,9.7968076609,9.3444707782,10.3281141609
ADCY9,7.1499613529,6.8913155267,7.4373954173,6.3494069827,6.3460098551,6.5045699235
ADD3,6.5111629311,6.4534341452,6.5011293781,6.5954203119,6.6092148226,6.6700883146
ADIPOQ,7.0315806907,7.0899879455,7.1344662253,7.3922344573,7.5287241526,7.551374244
ADNP,9.7292197275,9.29029156,9.9757359932,10.4691942719,9.9640430165,10.4105052697
ADNP2,8.6510657044,8.861931435,8.7476228275,9.9839574836,10.3842525978,9.7666771369
ADRM1,9.2316627551,8.9879709951,9.0555277972,8.4951438369,8.3959857292,8.2062944407
AES,9.9728464549,9.8328526954,10.0215037284,9.3655113269,9.2223217906,9.3812168282
AFMID,7.8465475387,7.6738947917,8.0946326503,7.1329072994,7.2025418718,7.3480122657
AGA,7.1330576877,7.4137902227,7.6328979556,8.7746528631,8.3582628177,8.5542900509
AGAP7,7.0240972822,7.080855486,7.0804451422,7.2939812802,7.1833722307,7.2820075336
AGC1,6.5780498458,6.6492542025,6.783224423,6.9421465495,6.949482464,6.9735703288
AGER,7.5597252941,7.3269117819,7.3868355082,7.1292502344,7.1269638627,7.0920270053
AGFG2,7.0771135939,7.0582920896,7.1029127247,7.2476185641,7.2632334803,7.3346930515
AGR2,6.7794304647,6.79990347,6.8122827955,7.6774594542,9.2189043126,7.468321688
AGRN,9.4459894739,8.9893521452,9.3478527228,8.2434090318,8.3199470763,8.2030887793
AGTPBP1,9.1069893557,9.4107892058,9.2558087507,10.7564786595,10.7344506304,10.294404
AGTR1,6.963994704,6.9948676559,6.9665401615,7.0975050453,7.2887301617,7.3162178924
AHCTF1,8.852290493,8.5197159299,9.563211883,9.7438947024,9.7119099305,9.8902977928
AHRR,8.9184708753,8.9764723965,7.1481300878,7.1587408479,7.0334530991,7.0555277972
AHSA1,10.0140894301,10.2542359924,10.2587607744,11.4338155512,11.0158171652,11.4440564556
AIF1,8.6073199435,9.33914362,8.4517684762,10.853456683,11.902606444,10.9005348525
AIFM1,8.666141942,8.7443547717,8.2705202663,9.7076769962,9.5509442474,9.6975067163
AIFM2,7.3283231416,7.7158073161,7.5762294519,6.7593501267,6.8221475773,6.8911402575
AIPL1,6.7908720935,6.8623838529,6.8081269535,6.625603506,6.6065132826,6.7331123842
AJAP1,6.5525316931,6.5658746724,6.5216211293,6.4408946621,6.3644060102,6.4441240576
AK1,8.4629399444,8.1383924119,8.0103115193,7.4499701205,7.5326113444,7.5410937322
AKAP4,6.9665650055,7.0142708407,6.9648041272,6.8717053265,6.8256019066,6.8535120439
AKAP7,7.0989600193,7.1926407979,6.9652323146,7.7656188001,8.1244189001,7.9426425714
AKAP9,6.3861878624,6.3848604449,6.4318909343,6.5862546815,6.4823361718,6.566889204
AKR1C3,7.8440962218,8.7952594764,7.5512225865,6.535115369,6.8646691493,6.8216213117
AKT1,11.3552902344,11.3113152881,11.3528005001,10.2093004146,10.2420723028,10.1792514332
AKT3,7.1823972264,7.1251913384,7.1996339455,6.7700188814,6.8460366293,6.9377273557
ALAS2,7.1013218088,7.2590693211,7.2822626792,8.3808369997,9.7371378905,9.060204419
ALDH7A1,6.7682419564,7.6643264659,7.7301290098,9.3500152806,9.3271609866,8.9794904731
ALG3,7.0075495289,6.9078713972,6.8748448368,7.0811721461,7.0575589042,7.2593229134
ALK,7.1554535202,6.9390778824,7.0052786552,7.3402789843,7.2976077012,7.2038082431
ALKBH6,8.5671636997,8.1959805345,8.1612325978,7.4085088813,7.8517187134,7.3714246932
ALLC,6.9106562425,6.8892941644,6.8474941032,6.6818858168,6.7405109096,6.7543451828
ALOX15,7.5744636518,7.1944607266,7.5116674374,7.0700869348,7.0325236857,7.3091131594
ALOX15B,9.085089961,8.8413247274,7.7011262884,7.8836445347,7.8241425748,7.3947669924
ALS2CL,7.4572232969,6.9336634223,6.4216491485,6.4606362659,6.4656265086,6.4442805923
AMAC1,6.9641347669,6.9453508077,6.9437062858,6.8023180035,6.8194324085,6.7653930253
AMAC1L3,7.4209110086,7.2787428826,7.4781035652,7.2674373593,7.1016134866,7.1740132797
AMOT,7.4883136651,7.2487786432,7.3168218864,8.2042674748,7.9885105931,8.5036239519
AMY1A,9.7036482337,9.0486204792,10.7299776059,10.5919992024,10.0678752666,11.0331432207
AMY1C,12.60618048,12.1639416812,12.9612519916,13.0497186602,12.7882626162,13.4613428034
ANAPC11,10.3312978684,10.3935187308,10.195201126,9.7557856682,9.8672267583,9.7277835458
ANAPC13,9.0403581654,9.2532162362,8.5258331395,10.3374297142,10.1634751222,10.4007534362
ANAPC2,7.0598800262,7.1762472278,6.9777066379,6.8543986701,6.8721189221,6.8623181393
ANGPTL4,11.246489314,12.4303880169,8.6530076445,7.9076561797,9.1642268965,8.6458977753
ANK3,7.6866535578,7.2545791133,7.5647305032,7.0188606911,7.0627287746,7.0986762495
ANKHD1,8.4088185134,8.1726726246,8.5930570967,8.8516911046,8.6635209054,8.8321640246
ANKRD26,7.0230688966,7.1267633156,7.155898776,7.4689238462,7.8632404851,7.4968671153
ANKRD28,9.0724963791,8.8297934805,7.5553639043,7.9348006093,7.6282375439,7.5630395416
ANKRD40,8.0243560779,7.5346308519,8.0429209035,8.4903510416,8.2515507454,8.3692342143
ANKRD52,7.5347941477,7.3849684138,7.327258276,7.2300406616,6.9703677055,7.1387184772
ANKS1B,7.0107792725,6.9981929252,6.9459529945,6.7336838636,6.7683183871,6.8275859207
ANLN,6.7275008697,6.6632510443,6.7551951622,8.021221209,7.262474094,7.9527801184
ANO5,6.6069949106,6.6719803152,6.6323342399,6.5045099978,6.4642148594,6.5063691372
ANO6,10.791750259,11.0313559538,10.4666010675,9.8431615468,9.8287594674,9.2995735951
ANP32B,12.967497467,12.7588283899,13.2247863816,13.7375069358,13.4237890816,13.5050971084
ANP32C,6.6028871529,6.5586572725,6.5711879193,6.4343170531,6.4360930246,6.3906779183
ANPEP,9.8919280007,11.3674269631,10.1877187588,8.358382052,8.7744627851,9.442125442
ANTXR1,7.0853212961,7.5121357114,7.0819668122,7.578602442,8.2846259461,9.0085716506
ANXA7,6.7414887805,6.7365273997,6.575765342,6.539888536,6.4921614283,6.5876120473
AOAH,8.8753317754,9.1363930931,9.0806205771,11.1632617501,11.5867093173,10.0602414608
AOC2,7.0944918802,7.1888318912,7.1152075584,6.9494434943,7.0505554722,7.0297019327
AP1G2,9.290830213,8.8055602028,9.2455806663,8.1846927958,7.8674699353,8.9668249178
AP1S2,12.8135231773,12.9097309286,13.3777101179,13.6303750832,13.7470301632,13.5208534413
AP2A1,7.4419635726,7.3725163204,7.1604477288,7.1511927393,6.962510494,6.8200198597
AP2A2,8.1108462108,8.7307008643,8.483236567,7.2588667196,7.8207385958,7.057028294
AP2M1,9.6151065057,9.5298441086,9.2774990157,8.953202055,9.0504777988,8.777699075
AP3M1,10.1648954673,10.323587664,9.5959537192,9.3014450953,9.1630274005,8.9678724944
AP3S1,8.2539003252,8.2184669021,8.554097903,8.7262820246,8.8848118795,8.8330563695
APBA3,10.6169878298,10.618528249,10.1229165788,9.5514647827,10.1589337793,8.9822432143
APCS,6.8991152754,6.9072201368,6.8611087814,6.693349146,6.7517272135,6.66198538
APEX1,9.5005821157,9.589834448,10.0723030809,11.6360649513,10.8127100622,10.8675265667
APH1B,10.3664838577,11.2995173578,9.332268219,9.042377326,9.9491079863,8.1558929002
APIP,7.7071140133,7.6693969662,7.5582599749,8.0446074226,8.5478815908,8.1459656671
APOA5,6.6861807316,6.7151054999,6.6212194868,6.7757970144,6.8454438776,6.8373304974
APOL1,7.3071451362,7.3264170735,8.2717920697,6.7900282231,6.6230412252,7.3289893329
APOL2,8.9083506726,8.4688798301,10.3144437416,7.4152230804,7.7029926909,8.3722994481
APP,8.1415407514,8.6616995317,7.9523845451,7.380949969,7.6570918127,7.5546164061
AQP1,6.9454860189,6.9707141512,6.8761483547,6.7144231472,6.7799891344,6.8230195354
AQP12A,6.9736984215,7.0521428791,6.7291618373,6.7531645783,6.8041122374,6.6581439015
AQP7P2,6.5428650855,6.6576387947,6.5571635418,6.780735849,6.7317993148,6.7784822936
ARAF,10.4681384501,10.2291712986,10.1721232839,9.9736565349,9.8480782191,9.5588007264
ARF1,6.8787796688,6.977354029,6.9208627794,7.0572696867,7.1337569852,7.0597317769
ARF5,9.8734459728,9.4514139804,10.0129184455,9.2438248985,9.2941113277,9.3230667925
ARFGAP1,8.9802646799,9.1289969141,8.8792520344,8.299416197,8.3921450304,8.141387129
ARHGAP15,8.2611664469,8.5526356277,8.8514549034,10.3565346351,9.5315091439,9.4065911071
ARHGAP17,10.4000929576,10.714951927,11.586889685,11.6894385246,12.4479815123,12.4399878806
ARHGAP21,9.5878547101,9.6376187981,9.15438586,10.5813183799,10.7783767439,10.8406244329
ARHGAP8,6.795146695,6.7106628734,6.7337262067,6.8726116211,7.0602985515,6.9895087994
ARHGDIA,11.4541388474,11.5819327955,11.7364411644,10.9435803405,11.139228423,10.9400286888
ARHGDIB,11.8524900431,13.0487011184,12.6734659193,14.4351389124,14.6084634716,14.5069242971
ARHGEF10,8.6685145894,9.1226450356,7.7761035534,7.9020025221,7.3764254263,7.4446843949
ARHGEF10L,7.2182556366,7.7720103361,6.9259069751,6.9604766498,7.0961834998,6.7914019217
ARHGEF11,7.0077986825,7.2921405972,6.8326117963,6.886891861,6.951481526,6.7129107517
ARHGEF12,7.6672609655,7.7798745841,7.8261440561,7.2580122968,6.9741317655,7.6149692326
ARHGEF2,13.2861028094,13.1217136808,13.0107171549,12.6659211863,12.9104380008,12.2897473379
ARID4B,7.1387807603,7.5187821382,8.1738445422,8.8234353809,8.9214470344,8.6151684229
ARL17B,8.2636727255,7.6906297338,8.2085327316,7.3498845019,6.9447447898,7.2216200576
ARL2,10.7711178104,10.8843565246,10.561556522,9.4924985815,9.2220392461,9.264613343
ARL4C,10.7564387904,10.5763745737,10.0492630144,10.0647306967,8.8199181532,9.6786374454
ARL5A,7.5982656524,7.6865764264,8.2999513208,9.8569690755,8.9613285228,9.7506753088
ARL5B,8.8867088696,8.8089200768,9.735137054,10.1430202694,9.8444427525,9.8553019409
ARL6IP1,7.4473040076,7.4403074149,7.8077608469,7.1649283422,7.1298675546,7.1141847399
ARL6IP4,7.2256006749,7.1132238638,6.7398567222,6.6895683262,6.8494624237,6.6816740575
ARMCX1,7.0530588461,7.3989665681,7.0364165944,8.0091658257,7.5477650834,7.699757131
ARMCX3,6.9085699921,6.9301773406,6.9407831433,7.08407352,7.1287461379,7.2114856585
ARNTL2,8.0030667869,7.3168229776,7.8753381373,6.9845580961,6.8438225844,6.9129432954
ARPC1B,7.0117506698,7.1452607283,7.059601834,7.3381886384,7.1939420501,7.2932320769
ARPC2,7.2272396229,7.2163013968,7.2077486085,7.0900377555,7.06133708,7.08380078
ARPC4,11.03972515,11.0140988709,10.796303967,10.2950928405,10.1849954248,10.1335028703
ARPC5L,9.8123084774,9.2554607427,10.2208560972,10.3103821672,9.847230882,10.9115183251
ARRDC1,6.7057832435,6.5572467317,6.8546104878,6.4288695791,6.4385076182,6.4571663795
ARRDC2,8.1158837349,8.0329068937,7.8524936403,7.6649942146,7.8211636315,7.057809536
ARRDC4,7.5524777844,7.6707444482,6.8668550408,6.7153526596,7.0034255106,6.541905986
ARS2,11.8856120406,11.8164417364,11.8054248712,12.3841444576,11.9838368883,12.5648271153
ARSG,7.8194633046,8.3922110492,7.3371465464,7.4886815811,7.0564191209,6.8859211046
ARVP6125,7.033019164,7.005243549,6.8779634058,6.7666282808,6.8070546392,6.7674872446
ASB6,6.4705358376,6.4220683979,6.4317405488,6.3064050845,6.3637130341,6.2929977932
ASCC3,7.2948590213,7.0870492395,7.354718295,7.575770093,7.4980716154,7.4534584293
ASMTL,11.5083480823,10.3265677017,10.9842617425,9.2601452312,9.1343885488,9.0174857138
ASPM,7.0464171016,7.0009005518,7.4047945246,8.2928794016,7.3945643608,8.3432349251
ATAD3C,7.083569866,6.9904606292,7.0281176083,7.1623973709,7.1804426972,7.230941603
ATF7IP2,9.5572632087,8.4892412737,9.5228511566,9.8335008445,10.1516173637,10.2529689056
ATG10,10.4052870816,9.8767496284,10.7782746757,9.7508016714,9.6579278207,9.3370344913
ATG3,7.5481567526,7.3343129987,8.305344822,7.1673688261,7.1273344836,7.4928736715
ATG7,10.736909742,11.7410923593,9.9905874987,9.0457841565,10.3823278978,9.0073752225
ATIC,9.5846950884,8.9942575159,9.5329260145,11.0876299376,9.7316812172,10.5879519636
ATL1,7.0127794818,7.0285348092,6.9208825815,7.2191670356,7.3368760859,7.4339268042
ATN1,8.6457614088,8.5642735769,7.9712339585,7.6299922322,7.8852786185,7.365290863
ATOX1,11.8434990106,11.6080834714,11.3515965227,10.7937064993,11.2255541803,10.7282608343
ATP10A,7.5138556517,7.5704449688,7.5586922189,8.5199545969,7.8805127309,8.1025370772
ATP1A3,7.503563896,7.3789210051,7.3739123667,7.1974046398,7.2288317227,7.2191440328
ATP1B3,7.2918607755,7.1173626404,7.2752978643,6.9483602325,6.8497455252,6.9513710689
ATP2C1,6.8923883817,7.119175025,6.7270684116,7.6265620645,7.4148513449,7.395935333
ATP5A1,12.803908894,12.8260224087,13.0189094094,13.8261369414,13.2326677069,13.5432989717
ATP5C1,8.1724284959,7.9988494558,8.4733948791,9.0442536522,8.6159411363,8.4436312395
ATP5F1,10.9285317308,11.1103871262,11.3721083856,12.4611496101,12.0221789567,12.4998715457
ATP5I,11.3861590291,11.4790237629,11.1943025014,11.7465709691,12.0156091481,11.86438078
ATP6V0B,9.007288562,9.3713183698,8.9279842413,8.7774550669,8.8431962744,8.2442797743
ATP6V0E1,13.1815809344,12.838258884,12.7278248413,12.299292198,12.4225102259,12.5578687923
ATP6V1E1,13.4442077363,13.4182553296,12.8568705724,12.6986654402,12.8274089526,12.4414498464
ATP6V1G1,10.6550915128,10.6931624634,10.124613608,11.2985850894,11.4123495229,11.0015654802
ATP7B,7.0386149559,6.9360808952,6.9828653198,7.1638869574,7.0957702912,7.1114259552
ATPGD1,6.9245224814,6.9421823147,6.9094590792,7.0732452135,7.0461450641,7.0862922599
ATPIF1,9.1984010429,9.1531741789,9.2643411438,9.7655085316,10.1076590804,9.9749746766
ATXN1,9.7432843636,9.3215794924,9.4399252189,8.0478120837,8.4600965321,8.9247713906
ATXN2L,6.7799881503,6.737227661,6.6426214645,6.5805609737,6.534725598,6.5274219613
ATXN7L3,9.0249866151,9.005459799,9.113425448,8.6247197146,8.48542843,8.3581546867
AURKAIP1,12.1158122294,12.053401466,12.0495501978,11.6506594777,11.3260666292,11.4534961435
AXIN1,9.8953234317,9.6861118736,9.9374544782,9.1117064422,9.4007234256,9.2476350297
AXL,10.7503428638,10.9741195324,9.1806267563,11.9422408446,11.9166113322,11.4021339043
AYP1P1,9.1871263615,9.3445615998,9.6976445336,8.6132377878,8.530208431,8.5073535694
B2M,14.4738625751,13.912728652,14.3964795429,13.1837948712,13.3135785982,13.4327329609
B3GAT3,7.3044519327,7.1840069759,7.0128039836,6.8306923593,6.6277749076,6.8255194169
B3GN-T6,6.8573289263,6.8333863409,6.9186245124,7.1449784419,7.2088229468,7.1971373862
BAALC,7.1538302516,8.0956724808,6.646193765,6.6123132589,6.6559066174,6.6155896392
BAAT,6.5285383504,6.6069125091,6.5612034699,6.3910465567,6.4499645059,6.4584944735
BACH1,6.7142400823,6.8177874718,6.64813708,7.1009439934,6.8960308611,6.9072170386
BAG2,7.1464363808,6.9298828537,7.4324526939,7.3046098742,7.4002036221,7.878727509
BAG3,10.7939738053,11.9297229936,10.9321773442,13.8658194684,14.2932688076,14.3843576815
BAHCC1,7.2363404907,7.1520014454,7.232787185,7.0166572202,7.0484748119,6.991218314
BAMBI,7.5059742769,7.8412189385,8.124119463,9.663787141,9.4603142967,9.7802070652
BARX1,7.0599010949,7.1248023354,7.0745488903,6.8570737574,6.9211234823,6.9344879806
BARX2,6.5931840175,6.6209674496,6.5393530887,6.3746999045,6.4884224281,6.4838365514
BASP1,14.7914066001,14.640795234,14.8672203523,13.8304898529,14.2028564316,14.2633581321
BAT3,9.9998458081,10.0890816577,9.4345938917,8.882083934,9.2466137259,8.5603369794
BAZ1B,8.6265783051,7.996079546,8.2754018598,8.8402090316,8.5477384858,8.7001679546
BCAN,6.7832657121,6.810273535,6.8219664997,6.9589331478,6.9545191964,7.0372689267
BCAP31,11.8183916633,12.3962535515,11.6354678607,11.3440307964,11.7575477141,11.2107872102
BCAS2,7.2494005623,7.1718967177,7.3256623862,7.4452421472,7.6686057653,7.6010030635
BCCIP,7.4828523116,7.5313257914,7.6034800102,8.2565984198,8.1035885851,8.4128530897
BCL10,7.1229760825,7.3604084685,6.9101274257,7.7914820007,8.0349016654,8.0421541609
BCL2L1,7.0082707536,6.9686138221,6.9902310799,7.0849730833,7.1622553594,7.118147468
BCL2L14,7.1520886572,7.1530024813,7.0896761954,6.9047503924,6.9266691847,6.9975240072
BCL9L,7.8851465258,7.2777429044,7.8250831321,7.2190545201,7.044718751,7.0496885869
BCLAF1,7.1587466387,7.1813655097,7.3330697426,7.6372661458,7.4986295731,7.6497377546
BCORL1,7.7437216196,7.5357812995,7.5373331065,7.1347682445,7.2911206832,7.0565571019
BDH2,6.591644752,6.6363864014,6.6616330681,6.5238073953,6.517611815,6.4319450684
BDKRB2,7.2876278488,7.4369123596,7.3531815419,7.1147046258,7.1345098072,7.1327315129
BDNF,7.1264196521,7.0626400817,7.0697767978,6.9047439976,6.8921468123,6.8984413597
BEND3,7.1795468493,7.0276385549,7.0185173928,7.608020904,7.5848562212,7.7610381974
BEST2,6.9426284764,6.8345959445,6.8637423687,6.5937967018,6.7231736321,6.7373175791
BGN,7.456891835,7.5385956074,7.7258757124,8.2147103888,8.9364783225,10.141039911
BIRC5,7.0087466196,6.9018632591,7.3976176526,8.8746861771,7.5600536397,8.7470377074
BLOC1S3,6.7092538394,6.7245460793,6.6059053089,6.5029887292,6.6002796922,6.5752388993
BLVRA,11.6572996095,11.9489880584,10.7422562675,9.1820777737,11.7801322923,9.798432035
BMF,9.1777214539,8.3437755941,9.4874554378,8.4083827582,8.1409040993,7.8574816279
BMP8B,7.2075149289,7.2961633747,7.6300875944,6.9089735938,6.8939534513,6.9837896543
BNIP2,8.6352675384,8.8949768018,8.705373528,9.7553591902,9.9432255658,9.3462715756
BNIPL,6.7309642002,6.675592506,6.6866168849,6.5127202329,6.5257538345,6.6169880539
BOLA2B,6.8757067057,6.9907708312,6.8309663939,7.0638423311,7.1000959691,7.1267689689
BPY2B,7.0245008771,6.9808833345,7.0269542607,7.212171797,7.2068902919,7.2655371413
BRI3,11.0559785613,11.9059475134,11.3524164421,11.8736964208,12.6156754276,11.6654828968
BRIX1,8.3060125759,7.9343226752,8.3944452786,9.11053836,8.2826986059,9.225271404
BRP44L,9.3283657943,9.4994677644,9.0842930367,10.5490445399,10.3679958745,10.0103269642
BSX,6.933193178,6.8815083494,6.9208615398,7.0802542865,7.0736588084,7.1258624965
BTBD2,10.0546623397,10.0161857202,9.8841813906,10.6557786176,10.9501610195,10.4631938165
BTBD7,9.5655777176,9.0718613552,9.1817056345,10.1974811314,10.4049787568,9.7705554943
BTF3,12.9826832469,12.7188262666,13.1513350225,13.6211274928,13.3132483424,13.5488930361
BTN3A1,8.7856009589,8.7822082721,9.4711910835,7.9893588261,7.6335492001,8.1329609632
BTNL8,6.6047528105,6.5752708151,6.4978889109,6.4585895109,6.3903980743,6.4682224867
BUB1,6.6863796042,6.5883868752,6.6766612184,7.5700081011,6.7940519909,7.592545583
BUB3,7.2574813636,7.1647325887,7.4398414815,7.076585672,6.9778888156,7.0611494621
BZW1,6.6771298368,6.6807944217,6.6108007851,6.5990301974,6.4831376108,6.4760279864
C10ORF116,9.0859119236,10.1794443008,8.420432163,6.9077942554,7.6738470301,7.634046585
C10ORF129,6.8911042316,6.9789935692,6.9118042408,6.7669174382,6.8334647153,6.7224332633
C10ORF28,9.359375773,9.2252250309,8.7182491569,8.6775020714,8.7672289959,8.2926599812
C10ORF30,6.681792275,6.7668692144,6.7055296151,6.5279426438,6.6805983391,6.5591014117
C10ORF32,6.9388263283,7.1154484766,6.563719305,7.5260452949,7.854020592,7.2489852972
C10ORF35,6.979978665,6.9962143166,6.9549893333,6.6214265912,6.6159063288,6.5922617763
C10ORF4,6.7476429866,6.776088324,6.5872366564,6.5463698749,6.5827926859,6.6273755911
C10ORF55,7.109075101,7.0557914271,6.7826527503,6.7118134512,6.8005196899,6.8063386028
C10ORF61,6.8877218867,6.9703727201,6.9065730107,6.6938603878,6.8299359881,6.7718149844
C10ORF72,6.9291876426,6.8589442971,6.9000304745,7.0384421777,7.0688891483,7.0092838635
C10ORF73,8.349093975,8.4544100664,7.4598029155,7.3657655747,7.7323824046,7.342214352
C10ORF85,7.0481912826,7.0620709782,7.0773495252,6.897143661,6.8208654243,6.8459397555
C11ORF16,6.4471532251,6.4780237487,6.3971299954,6.5771203322,6.5831632639,6.5877282517
C11ORF20,6.7345884619,6.7583765679,6.846429662,6.9357391998,6.8442596071,6.9496996844
C11ORF41,7.3688039338,7.2949813946,7.2855859623,7.0298244756,7.0142786186,6.9973424728
C11ORF53,6.9335759116,7.0107671152,6.7804266151,6.7528804192,6.7228413358,6.7523530708
C11ORF68,8.3373076789,8.2963603082,8.2721156372,7.5719081153,7.5855642363,7.5823091491
C11ORF74,6.9409351287,6.9167002141,6.8349135936,7.587552491,7.6678416037,7.2268630004
C11ORF80,8.8981357011,7.4819733654,9.1483446846,7.1290527726,7.085485992,8.0529191821
C11ORF82,6.9707502302,7.0242251728,7.0906670592,7.7379931454,7.7593601812,7.9226720712
C12ORF11,7.1099446717,7.1818237429,7.1139572811,7.4769322165,7.7419414376,7.3798390822
C12ORF34,6.9262723367,6.8734107955,6.8632371771,7.0884943156,7.2639501443,7.1456153581
C12ORF35,7.9053986629,7.7384078471,7.6640982325,8.2785381918,8.457393507,8.2694259102
C12ORF48,6.5369006051,6.8287228543,6.6970382142,7.906802641,7.3178157816,7.3747361523
C12ORF57,8.3667715856,8.6393465298,8.6643047679,7.6462972392,7.9452671823,7.553450077
C12ORF76,7.203184717,7.1902098713,7.1896462614,7.689163016,7.4048058999,7.3722798025
C13ORF28,6.5465299547,6.5253673681,6.4332922952,6.6518066124,6.692377247,6.7453190753
C14ORF135,8.4430539679,8.2539002438,8.6543186135,8.9707633987,9.2009127754,9.1110700976
C14ORF166,10.5772323448,10.5894033748,11.0248041962,11.409547277,10.7084634024,11.4726000002
C14ORF179,8.8920070705,8.5787654379,8.8647111542,7.9293917053,8.0771381559,7.8707864313
C14ORF2,9.2835198017,8.9727933417,9.6102451616,10.3318955738,10.26282843,10.0120549589
C14ORF4,7.7728512244,8.5771260396,7.1430242078,9.9869904763,10.1903389582,8.6830326672
