EnsemblId,totalScore,IRF,NFY,NFKB,HOXD13,ZNF35,PRDM1,ATF3,IRF4,HSF,HOXB13,POU2F2,SOX7,FOXP1,DMRT2,RAD21,VENTX,BHLHE40,ZNF691,POU3F3,REL,HBP1,MYC,NRF1,HEY1,RARG,ALX1,EGR1,REST,FOXA,NR3C1
ENSG00000002330,-0.2817739299471368,0.6532309374281656,0,1.927135980394327,0,0,0,-1.4295313214308518,0,0,0,-0.6424134351761217,0,0,0,-0.9420176325058234,0,-1.2031095448288571,0,0,1.3549310861720245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000003987,0.48454673185233743,0.9145233123994319,0,0,0,0,0.7776265000677803,-1.4295313214308518,0,0,0,-0.6424134351761217,1.0294803087320716,0,0,0,0,0,0,-1.6477772398844137,0,1.4826386071444408,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004468,3.2544166611774754,0.13064618748563311,0,0,2.2755275346845147,2.2737263781171375,0,0,0,0,1.440150337423494,-0.6424134351761217,0,0.6276664433560885,0,0,0,-1.2031095448288571,0,-1.6477772398844137,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004777,7.899740495376917,0.6532309374281656,5.665265552218253,2.2024411204506595,0,1.1368631890585688,0,0,0,0,0,-0.6424134351761217,1.0294803087320716,0,0,-0.9420176325058234,0,-1.2031095448288571,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004809,2.624259375096981,0.5225847499425325,0,0.8259154201689973,0,0,0.7776265000677803,0,0,0,1.440150337423494,0,0,0,0,-0.9420176325058234,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004838,0.26129237497126623,0.26129237497126623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004866,2.356850433651762,0.26129237497126623,0,0,0,0,0,0,0,0,0,-0.6424134351761217,0,1.255332886712177,0,0,0,0,0,0,0,1.4826386071444408,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005102,10.686014617460287,0.26129237497126623,0,1.3765257002816622,2.2755275346845147,2.2737263781171375,0.7776265000677803,0,0,0,1.440150337423494,-0.6424134351761217,0,2.510665773424354,0,-0.9420176325058234,0,0,0,0,1.3549310861720245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005238,4.854822899045736,1.045169499885065,2.8326327761091266,0.27530514005633244,2.2755275346845147,0,0,-1.4295313214308518,0,0,1.440150337423494,-0.6424134351761217,0,0,0,-0.9420176325058234,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005302,-1.13644655299824,0.5225847499425325,0,0,0,0,0,-1.4295313214308518,0,0,0,-0.6424134351761217,0,0,0,-0.9420176325058234,0,0,0,0,1.3549310861720245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005379,-0.7838979491199166,0.7838771249137988,0,0,0,0,0,-1.4295313214308518,2.414130745855844,1.25527691058042,0,-0.6424134351761217,0,0.6276664433560885,0,-0.9420176325058234,0,-1.2031095448288571,0,-1.6477772398844137,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005483,9.903648487544768,0.6532309374281656,4.24894916416369,3.3036616806759893,0,0.5684315945292844,0,-1.4295313214308518,0,0,0,-0.6424134351761217,1.0294803087320716,1.255332886712177,1.7067027630730198,-0.9420176325058234,0,-1.2031095448288571,0,0,1.3549310861720245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
