EnsemblId,totalScore,IRF,NFKB,TFAP2,NFY,ZNF281,MYC,UNCX,ZSCAN16,HOXD13,CCNT2,EWSR1::FLI1,TFAP4,STAT,JDP2,POU3F2,ALX1,MEIS1,PAX4,HSFY2,SRY,RREB1,YY1,FOXJ1,TGIF1,SOX1,RAD21,E2F,LMX1B
ENSG00000002330,4.7126983476265805,0.4515032717993454,1.496113182041545,-0.5435622498243827,0,1.6694697216840997,-0.7326269769840632,0,0,0,0.8036384692866824,0.43928276891329415,0,0.7862306132567317,0,0,0,0,0.3426495474533284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000002834,3.861976283889847,0.7224052348789526,0.4274609091547271,-0.5435622498243827,0,3.0050454990313793,-0.7326269769840632,0,0,0,1.07151795904891,0,0,0.4913941332854574,0,0,-1.26495731960779,0,0.6852990949066567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000002919,-1.907283642231984,0.09030065435986907,0,0,0,0,-0.7326269769840632,0,0,0,0,0,0,0,0,0,-1.26495731960779,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000003096,-0.8750254227507572,0.3612026174394763,0,-0.5435622498243827,0,0.33389394433681996,-0.7326269769840632,0,0,0,0,0,0,0.19655765331418293,0,-1.1757895059394472,0,0,0.6852990949066567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000003989,-1.6452144528621007,0.9933071979585598,0,-0.5435622498243827,0,0,-0.7326269769840632,0,0,0,0,0,0,0.39311530662836586,0,-1.1757895059394472,-1.26495731960779,0,0.6852990949066567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004059,2.8801872261347494,0.5418039261592145,0,-0.5435622498243827,0,0,0,0,0,1.7900164350636854,0,0,0.8953714614220494,0.19655765331418293,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004487,-0.33128827092907986,0.27090196307960723,0,-0.5435622498243827,0,0.33389394433681996,-0.7326269769840632,0,0,0,0.535758979524455,0,0,0.2948364799712744,0,-1.1757895059394472,0,0,0.6852990949066567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004864,2.258372017910987,0.27090196307960723,0.4274609091547271,-0.5435622498243827,2.1987123450604957,0,-0.7326269769840632,0,0,0,0,0,0,0.2948364799712744,0,0,0,0,0.3426495474533284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004897,1.7368784859150832,1.173908506678298,0.6411913637320907,-0.5435622498243827,0,0,0,0,0,0,0.2678794897622275,0,0,0.6879517865996403,0,-1.1757895059394472,0,0,0.6852990949066567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005175,1.1194491273480087,1.173908506678298,0.21373045457736356,0,0,0,-0.7326269769840632,0,0,0,0.2678794897622275,0,0,0.19655765331418293,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005882,6.954521403061239,0.4515032717993454,2.1373045457736355,-0.5435622498243827,2.1987123450604957,0.33389394433681996,-0.7326269769840632,0,0,0,0.2678794897622275,0.43928276891329415,0.8953714614220494,0.39311530662836586,0,0,0,1.1136474961734517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
