EnsemblId,totalScore,IRF,NFKB,JDP2,NFY,HOXD13,ZNF281,TFAP2,RREB1,CCNT2,EWSR1::FLI1,HSFY2,PAX4,ZSCAN16,SOX1,RAD21,MZF1,STAT,ARID5A,MEIS1,YY1,TGIF1,CREB3,POU3F2,FOXJ1,E2F,MYC,SRY
ENSG00000001036,0.12210872383970321,0.08416953829276062,0,0,0,0,0,-0.36259006235280433,0,0,0.4005292478997469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000002919,0.08416953829276062,0.08416953829276062,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004487,0.9316517288542392,0.25250861487828186,0,0,0,0,0.2955125138697271,-0.36259006235280433,0.26948350417929584,0.4767371582797388,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000004766,0.5964545803448178,0.16833907658552125,0.18974692461942716,0,0,0,0,0,0,0.2383685791398694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000005483,8.054780143630566,0.42084769146380313,2.2769630954331257,0,3.1835057991483096,0,1.1820500554789084,-0.36259006235280433,0,0.9534743165594776,0.4005292478997469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006071,4.864714890595406,0.5050172297565637,0.18974692461942716,0,0,0,0.5910250277394542,-0.36259006235280433,2.425351537613663,0.7151057374196081,0.8010584957994938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006282,1.5090104334254792,0,0,0,0,0,0,-0.36259006235280433,0.26948350417929584,0,1.6021169915989877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006327,12.551652452656594,0.3366781531710425,0.9487346230971359,8.368399245953784,0,0,2.06858759708809,-0.36259006235280433,0,1.1918428956993468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006459,1.6473558895648674,0,0.3794938492388543,0,0,0,0.5910250277394542,-0.36259006235280433,0,0.2383685791398694,0.8010584957994938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006576,4.152383202232731,1.0100344595131274,0.18974692461942716,0,0,1.7418837125040212,0.2955125138697271,-0.36259006235280433,0,0.4767371582797388,0.8010584957994938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006659,1.1282708769165855,0.9258649212203668,0,0,0,0,0.2955125138697271,-0.36259006235280433,0.26948350417929584,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000006740,1.5541034187660445,0,0,0,0,0,0,-0.36259006235280433,0,0.7151057374196081,1.2015877436992408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000007080,8.1741482601865,0.16833907658552125,0,8.368399245953784,0,0,0,-0.36259006235280433,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000007216,3.1641090809193395,0.25250861487828186,0.3794938492388543,0,0,0,0,-0.36259006235280433,1.6169010250757752,0.4767371582797388,0.8010584957994938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000007312,4.1222116630695735,0.5050172297565637,0,0,0,0,0,0,2.425351537613663,1.1918428956993468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000007384,6.388312505831995,0.42084769146380313,0.7589876984777086,0,0,0,2.06858759708809,-0.36259006235280433,1.3474175208964794,0.9534743165594776,1.2015877436992408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000007933,1.8784637603434742,0.5050172297565637,0,0,0,0,0.2955125138697271,0,1.0779340167171834,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000008394,0.25250861487828186,0.25250861487828186,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000008441,6.727610213688191,0.7575258446348456,2.65645694467198,0,0,0,1.1820500554789084,-0.36259006235280433,1.6169010250757752,0.4767371582797388,0.4005292478997469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000009709,7.8116294862161855,0.25250861487828186,0,0,0,0,2.364100110957817,-0.36259006235280433,1.886384529255071,1.6685800539790856,2.0026462394987345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
